Customer_ID,Acquisition_Channel,Ad_Spend,Cart_Value,Checkout_Completed,Days_As_Customer
CUS-000115,Google Search,8.69,,True,480
CUS-000116,Google Search,17.44,85.01,False,30
CUS-000117,TikTok,3.85,25.67,True,53
CUS-000118,Google Search,10.16,69.38,True,110
CUS-000119,Instagram,10.2,70.37,True,72
CUS-000120,Instagram,3.47,93.02,True,39
CUS-000121,Google Search,27.34,122.62,True,225
CUS-000122,Google Search,18.0,118.3,True,762
CUS-000123,TikTok,2.13,44.9,True,26
CUS-000124,Google Search,5.91,23.89,True,41
CUS-000125,Google Search,12.73,83.13,True,66
CUS-000126,TikTok,1.67,28.26,True,115
CUS-000127,Google Search,16.3,92.56,True,110
CUS-000128,Instagram,3.36,72.0,True,483
CUS-000129,Google Search,23.04,91.07,True,83
CUS-000130,TikTok,5.45,55.91,False,163
CUS-000131,TikTok,,26.38,False,1
CUS-000132,TikTok,5.93,32.68,True,264
CUS-000133,TikTok,0.59,108.34,True,225
CUS-000134,Google Search,12.81,116.82,False,18
CUS-000135,Instagram,4.53,66.08,True,48
CUS-000136,Instagram,8.28,96.35,True,9
CUS-000137,Instagram,2.3,100.12,True,189
CUS-000138,Google Search,23.04,147.45,True,253
CUS-000139,Google Search,4.03,64.86,True,81
CUS-000140,Instagram,6.82,48.87,False,349
CUS-000141,Google Search,8.08,50.81,False,37
CUS-000142,Google Search,17.97,64.19,False,116
CUS-000143,Google Search,14.09,97.29,True,344
CUS-000144,Instagram,11.66,81.87,True,59
CUS-000145,Google Search,10.01,57.77,True,97
CUS-000146,Instagram,3.3,27.75,False,0
CUS-000147,Instagram,15.73,107.65,False,146
CUS-000148,Google Search,26.56,181.96,True,516
CUS-000149,Instagram,14.15,37.74,True,26
CUS-000150,Google Search,20.6,,False,247
CUS-000151,Instagram,6.05,128.01,False,437
CUS-000152,Instagram,7.18,54.78,True,26
CUS-000153,Google Search,13.58,72.61,True,163
CUS-000154,Google Search,,60.33,False,42
CUS-000155,Google Search,11.94,88.36,False,190
CUS-000156,Google Search,26.9,104.47,True,93
CUS-000157,Google Search,2.92,55.18,True,13
CUS-000158,TikTok,1.41,13.93,True,138
CUS-000159,Instagram,3.42,82.21,False,175
CUS-000160,Google Search,14.17,47.58,True,102
CUS-000161,TikTok,7.02,67.03,False,373
CUS-000162,Google Search,20.93,94.84,False,41
CUS-000163,Google Search,24.9,86.32,False,116
CUS-000164,Google Search,16.56,104.53,False,216
CUS-000165,Instagram,9.72,79.27,True,6
CUS-000166,Instagram,6.57,87.74,True,88
CUS-000167,TikTok,5.18,34.83,True,369
CUS-000168,Google Search,9.31,148.13,True,456
CUS-000169,Google Search,29.27,76.6,True,110
CUS-000170,Instagram,8.1,42.18,True,239
CUS-000171,Instagram,3.43,34.31,True,349
CUS-000172,TikTok,1.78,42.21,False,0
CUS-000173,TikTok,3.5,57.91,True,612
CUS-000174,Google Search,16.66,108.9,False,611
CUS-000175,Instagram,1.34,62.12,True,71
CUS-000176,TikTok,0.85,35.45,False,150
CUS-000177,Google Search,27.51,85.47,True,384
CUS-000178,Instagram,11.72,61.78,True,502
CUS-000179,Instagram,14.55,85.33,True,13
CUS-000180,TikTok,3.75,63.76,False,21
CUS-000181,Instagram,1.98,76.76,False,46
CUS-000182,Google Search,3.28,95.15,True,26
CUS-000183,Instagram,3.95,55.69,True,69
CUS-000184,TikTok,,69.52,False,363
CUS-000185,Google Search,13.39,122.4,False,64
CUS-000186,Instagram,3.69,54.92,False,269
CUS-000187,Google Search,16.73,84.86,True,72
CUS-000188,Instagram,6.76,68.48,False,420
CUS-000189,Google Search,3.49,110.14,True,854
CUS-000190,Instagram,11.52,52.75,True,168
CUS-000191,Instagram,8.85,75.63,False,133
CUS-000192,TikTok,3.62,33.89,True,80
CUS-000193,Google Search,11.03,97.99,False,250
CUS-000194,TikTok,1.3,24.1,True,23
CUS-000195,TikTok,3.39,56.06,False,254
CUS-000196,Google Search,23.32,91.43,False,55
CUS-000197,TikTok,5.15,43.42,False,393
CUS-000198,TikTok,1.67,59.96,False,150
CUS-000199,Instagram,17.08,69.22,True,36
CUS-000200,TikTok,2.79,65.32,True,117
CUS-000201,Instagram,1.35,97.3,True,210
CUS-000202,TikTok,3.49,69.97,False,384
CUS-000203,Google Search,3.92,114.45,True,159
CUS-000204,Google Search,12.38,41.33,True,10
CUS-000205,Google Search,17.2,128.76,True,105
CUS-000206,Google Search,21.2,54.66,True,116
CUS-000207,Google Search,21.29,74.86,True,304
CUS-000208,Google Search,5.09,32.89,True,161
CUS-000209,Instagram,11.57,82.11,False,2
CUS-000210,TikTok,2.6,29.25,False,213
CUS-000211,TikTok,1.88,79.56,False,650
CUS-000212,TikTok,8.93,48.24,True,4
CUS-000213,Google Search,10.75,94.9,True,429
CUS-000214,Google Search,12.22,120.67,False,36
CUS-000215,Instagram,3.63,30.55,False,686
CUS-000216,Instagram,12.86,93.28,True,93
CUS-000217,Google Search,18.8,102.41,True,37
CUS-000218,TikTok,2.57,58.55,True,148
CUS-000219,TikTok,0.48,14.08,True,72
CUS-000220,Google Search,16.66,95.09,False,14
CUS-000221,Instagram,13.61,67.4,True,16
CUS-000222,Instagram,9.39,46.43,False,76
CUS-000223,Instagram,3.85,17.18,True,74
CUS-000224,Google Search,6.02,,True,1194
CUS-000225,Instagram,6.54,91.01,False,90
CUS-000226,TikTok,3.37,35.9,True,82
CUS-000227,Google Search,14.83,76.6,False,38
CUS-000228,TikTok,6.73,28.18,False,56
CUS-000229,Instagram,5.68,77.32,False,2
CUS-000230,TikTok,2.07,69.1,False,11
CUS-000231,Instagram,5.91,88.76,True,162
CUS-000232,TikTok,2.26,43.18,True,312
CUS-000233,TikTok,,30.02,False,23
CUS-000234,TikTok,0.64,53.73,True,110
CUS-000235,Google Search,7.81,61.1,False,59
CUS-000236,Google Search,15.97,85.38,True,495
CUS-000237,TikTok,5.21,34.44,True,37
CUS-000238,TikTok,1.38,71.78,True,127
CUS-000239,Google Search,4.11,73.68,False,40
CUS-000240,Google Search,23.63,107.89,True,155
CUS-000241,Google Search,6.42,62.44,False,50
CUS-000242,Google Search,9.6,76.45,True,52
CUS-000243,TikTok,4.01,56.18,False,367
CUS-000244,Google Search,5.67,138.41,True,335
CUS-000245,Instagram,8.04,95.22,True,167
CUS-000246,Instagram,6.5,102.05,True,182
CUS-000247,Instagram,9.61,97.98,True,651
CUS-000248,TikTok,4.98,20.57,True,0
CUS-000249,TikTok,1.1,17.07,True,12
CUS-000250,Instagram,12.44,51.6,True,126
CUS-000251,Instagram,7.65,119.69,True,16
CUS-000252,TikTok,1.59,57.55,True,128
CUS-000253,Google Search,10.36,162.26,False,127
CUS-000254,Google Search,18.77,51.98,False,186
CUS-000255,Instagram,3.33,97.53,True,11
CUS-000256,TikTok,4.25,74.05,False,108
CUS-000257,Google Search,8.68,84.35,True,360
CUS-000258,TikTok,2.51,81.78,False,337
CUS-000259,Google Search,14.97,91.92,False,32
CUS-000260,Google Search,8.13,38.95,True,330
CUS-000261,TikTok,5.99,47.89,True,113
CUS-000262,Google Search,8.56,80.19,True,1
CUS-000263,Google Search,10.07,97.26,True,170
CUS-000264,Instagram,17.49,72.73,True,3
CUS-000265,Google Search,15.0,141.66,True,392
CUS-000266,Instagram,3.07,53.47,True,227
CUS-000267,Instagram,5.8,73.47,False,441
CUS-000268,Instagram,5.87,50.86,False,471
CUS-000269,Instagram,2.35,61.28,True,3
CUS-000270,Google Search,11.48,72.87,True,487
CUS-000271,Google Search,18.51,47.94,True,608
CUS-000272,Instagram,13.01,94.97,False,21
CUS-000273,Google Search,4.85,100.63,False,235
CUS-000274,Instagram,4.38,47.92,True,312
CUS-000275,Instagram,2.95,71.54,False,19
CUS-000276,TikTok,4.3,82.3,False,104
CUS-000277,Instagram,5.85,66.72,True,148
CUS-000278,TikTok,5.43,5.0,True,257
CUS-000279,TikTok,1.0,47.05,False,359
CUS-000280,Google Search,9.34,108.43,True,0
CUS-000281,Google Search,7.37,148.03,True,334
CUS-000282,Google Search,,100.11,False,236
CUS-000283,TikTok,7.83,64.06,False,315
CUS-000284,Google Search,27.41,86.63,True,17
CUS-000285,Google Search,6.51,149.0,False,237
CUS-000286,Google Search,13.39,105.37,True,456
CUS-000287,Instagram,2.85,73.47,True,30
CUS-000288,TikTok,0.92,59.77,True,28
CUS-000289,Google Search,25.47,164.61,True,212
CUS-000290,TikTok,2.64,51.65,True,49
CUS-000291,Google Search,22.81,23.09,False,197
CUS-000292,TikTok,1.39,41.27,True,504
CUS-000293,Instagram,5.21,64.74,True,160
CUS-000294,Instagram,10.48,24.48,True,288
CUS-000295,Instagram,2.42,29.62,True,117
CUS-000296,TikTok,1.43,34.53,False,36
CUS-000297,TikTok,2.7,41.33,True,435
CUS-000298,Google Search,18.58,105.3,True,44
CUS-000299,TikTok,4.26,85.49,False,170
CUS-000300,Google Search,10.44,58.26,True,88
CUS-000301,Instagram,6.52,58.58,False,114
CUS-000302,Google Search,3.03,34.97,True,70
CUS-000303,Instagram,8.85,99.8,True,132
CUS-000304,Google Search,8.14,87.47,True,55
CUS-000305,TikTok,2.93,57.08,False,446
CUS-000306,Instagram,8.04,108.52,True,14
CUS-000307,Google Search,19.59,124.79,True,136
CUS-000308,TikTok,2.37,30.65,True,75
CUS-000309,Google Search,9.38,114.61,True,65
CUS-000310,Instagram,13.05,83.58,False,343
CUS-000311,Google Search,9.86,67.95,False,14
CUS-000312,Instagram,9.88,83.84,False,160
CUS-000313,Google Search,17.34,116.28,True,172
CUS-000314,Instagram,12.94,85.16,True,47
CUS-000315,Instagram,13.16,66.33,False,291
CUS-000316,TikTok,3.84,108.27,True,35
CUS-000317,Google Search,22.86,129.12,True,84
CUS-000318,Google Search,14.17,47.67,True,151
CUS-000319,Instagram,11.05,69.55,True,36
CUS-000320,Instagram,14.88,86.44,False,192
CUS-000321,Instagram,14.98,81.62,True,279
CUS-000322,Instagram,1.61,88.24,False,214
CUS-000323,Google Search,4.38,44.98,True,180
CUS-000324,Instagram,3.63,50.47,True,21
CUS-000325,Google Search,3.52,,True,150
CUS-000326,Instagram,6.9,89.64,True,406
CUS-000327,Instagram,10.46,73.64,True,281
CUS-000328,TikTok,2.71,7.51,True,252
CUS-000329,Google Search,2.99,107.5,True,288
CUS-000330,Google Search,15.27,102.91,True,196
CUS-000331,TikTok,0.69,55.96,False,244
CUS-000332,Instagram,10.68,76.56,True,262
CUS-000333,TikTok,5.87,58.57,True,263
CUS-000334,Google Search,12.91,94.27,True,62
CUS-000335,Google Search,4.85,59.14,False,199
CUS-000336,TikTok,3.59,19.67,True,91
CUS-000337,Google Search,21.91,126.38,True,76
CUS-000338,TikTok,1.04,68.29,True,60
CUS-000339,Google Search,4.95,182.82,False,474
CUS-000340,Instagram,5.24,93.26,True,105
CUS-000341,TikTok,4.33,17.05,False,33
CUS-000342,TikTok,2.95,61.7,True,60
CUS-000343,Instagram,4.2,24.06,True,150
CUS-000344,Google Search,5.22,71.88,True,146
CUS-000345,Google Search,13.44,171.51,False,77
CUS-000346,Google Search,11.9,143.81,True,183
CUS-000347,Google Search,17.62,62.47,True,15
CUS-000348,TikTok,2.71,58.23,False,150
CUS-000349,TikTok,1.83,56.74,False,158
CUS-000350,Google Search,7.75,133.18,True,440
CUS-000351,Google Search,9.18,132.97,True,233
CUS-000352,Instagram,6.98,57.54,True,161
CUS-000353,Google Search,11.81,29.91,True,143
CUS-000354,Instagram,5.08,75.67,True,24
CUS-000355,Instagram,8.91,93.13,False,288
CUS-000356,Instagram,9.34,58.71,False,202
CUS-000357,TikTok,1.64,74.1,True,54
CUS-000358,TikTok,4.1,75.1,True,23
CUS-000359,TikTok,3.02,27.78,False,422
CUS-000360,TikTok,3.41,45.81,False,378
CUS-000361,Instagram,10.32,32.05,False,82
CUS-000362,Google Search,2.9,110.42,True,133
CUS-000363,TikTok,4.46,44.13,False,308
CUS-000364,Instagram,5.88,49.28,False,185
CUS-000365,Instagram,8.68,135.17,False,275
CUS-000366,Google Search,5.14,78.84,False,379
CUS-000367,Instagram,3.05,45.34,True,51
CUS-000368,TikTok,3.0,84.53,False,41
CUS-000369,Google Search,29.83,142.45,True,436
CUS-000370,TikTok,1.13,36.07,True,206
CUS-000371,TikTok,4.75,42.97,True,10
CUS-000372,Instagram,1.34,73.07,False,17
CUS-000373,Google Search,5.75,89.45,True,212
CUS-000374,Google Search,2.98,44.64,True,120
CUS-000375,TikTok,6.41,101.84,True,23
CUS-000376,TikTok,3.08,80.56,False,50
CUS-000377,Google Search,11.52,91.36,False,440
CUS-000378,Google Search,14.81,37.75,True,304
CUS-000379,Google Search,12.06,11.59,False,52
CUS-000380,Google Search,5.8,98.42,True,252
CUS-000381,Instagram,5.01,87.06,False,88
CUS-000382,Instagram,12.92,52.77,True,53
CUS-000383,TikTok,2.84,50.66,False,26
CUS-000384,TikTok,4.6,48.94,True,354
CUS-000385,Instagram,9.92,49.39,False,79
CUS-000386,TikTok,1.4,73.58,False,707
CUS-000387,TikTok,7.53,71.51,False,80
CUS-000388,Instagram,12.16,69.76,False,79
CUS-000389,Google Search,23.23,117.67,True,24
CUS-000390,Google Search,5.32,64.98,True,48
CUS-000391,Instagram,4.9,106.26,True,38
CUS-000392,TikTok,1.66,74.68,True,240
CUS-000393,Google Search,4.69,114.73,True,581
CUS-000394,Instagram,10.12,79.04,False,295
CUS-000395,Instagram,7.1,57.85,False,7
CUS-000396,Google Search,12.16,28.92,False,783
CUS-000397,Instagram,13.7,61.44,False,60
CUS-000398,Instagram,12.65,75.65,True,151
CUS-000399,Instagram,4.63,45.16,True,348
CUS-000400,TikTok,1.03,,False,105
CUS-000401,Google Search,19.29,97.15,True,330
CUS-000402,TikTok,0.57,35.01,True,469
CUS-000403,Google Search,5.47,65.43,True,69
CUS-000404,Google Search,13.11,124.76,True,391
CUS-000405,TikTok,1.41,38.96,False,61
CUS-000406,Instagram,10.47,126.79,True,624
CUS-000407,Instagram,5.12,48.41,True,137
CUS-000408,Google Search,16.21,109.89,True,341
CUS-000409,Google Search,11.77,14.41,True,13
CUS-000410,TikTok,7.72,31.13,True,187
CUS-000411,TikTok,1.32,62.82,True,79
CUS-000412,TikTok,5.44,58.54,True,224
CUS-000413,TikTok,0.63,79.72,False,155
CUS-000414,Google Search,7.0,137.51,False,101
CUS-000415,TikTok,4.32,79.56,False,2
CUS-000416,Google Search,,146.11,True,112
CUS-000417,Instagram,1.93,96.55,True,20
CUS-000418,Instagram,5.38,24.18,False,161
CUS-000419,Instagram,2.75,66.9,True,7
CUS-000420,TikTok,1.43,77.82,False,208
CUS-000421,TikTok,5.32,46.9,False,233
CUS-000422,Google Search,13.87,69.78,False,139
CUS-000423,Instagram,7.53,58.99,False,139
CUS-000424,Google Search,25.84,52.83,True,32
CUS-000425,TikTok,1.08,97.41,False,151
CUS-000426,Google Search,16.69,95.67,True,162
CUS-000427,Instagram,6.17,27.59,True,211
CUS-000428,Instagram,1.91,49.28,False,191
CUS-000429,TikTok,6.49,77.23,True,97
CUS-000430,TikTok,2.11,44.24,False,352
CUS-000431,Google Search,3.96,114.02,True,181
CUS-000432,Instagram,13.39,101.14,False,297
CUS-000433,Google Search,5.37,74.64,True,46
CUS-000434,Google Search,2.63,75.56,True,275
CUS-000435,Google Search,4.73,119.51,True,213
CUS-000436,Instagram,13.61,114.35,True,148
CUS-000437,Google Search,19.74,87.22,True,91
CUS-000438,Google Search,4.67,102.43,True,264
CUS-000439,TikTok,5.1,55.07,True,146
CUS-000440,Instagram,1.85,45.64,True,212
CUS-000441,Instagram,3.13,113.22,True,69
CUS-000442,Google Search,20.44,5.63,False,568
CUS-000443,Google Search,9.43,56.9,True,180
CUS-000444,Google Search,25.71,93.18,False,131
CUS-000445,Google Search,15.69,96.51,True,190
CUS-000446,Google Search,13.2,,True,79
CUS-000447,Instagram,13.27,62.26,False,386
CUS-000448,Instagram,6.81,108.75,False,462
CUS-000449,Instagram,2.6,103.07,False,135
CUS-000450,TikTok,2.6,46.04,False,847
CUS-000451,Google Search,9.51,81.23,False,121
CUS-000452,TikTok,2.53,49.84,False,4
CUS-000453,Google Search,21.56,102.66,True,94
CUS-000454,Google Search,21.44,87.42,True,422
CUS-000455,Instagram,5.35,95.4,True,525
CUS-000456,TikTok,1.63,34.21,True,164
CUS-000457,Instagram,5.93,33.74,True,88
CUS-000458,Google Search,5.24,59.04,False,128
CUS-000459,Google Search,,99.34,False,259
CUS-000460,Instagram,2.58,92.92,True,81
CUS-000461,Google Search,22.9,80.29,True,52
CUS-000462,TikTok,4.0,52.55,True,53
CUS-000463,Instagram,9.97,98.8,False,127
CUS-000464,Google Search,15.64,131.05,True,78
CUS-000465,Instagram,1.63,62.8,True,25
CUS-000466,Instagram,9.54,87.72,True,75
CUS-000467,TikTok,1.32,50.32,True,80
CUS-000468,TikTok,2.67,97.67,True,42
CUS-000469,Google Search,11.57,90.37,False,143
CUS-000470,TikTok,1.5,8.52,True,163
CUS-000471,TikTok,3.08,44.44,False,106
CUS-000472,Instagram,1.43,130.29,False,13
CUS-000473,Google Search,24.42,15.18,True,39
CUS-000474,Instagram,13.85,81.69,True,1359
CUS-000475,TikTok,8.11,18.26,True,229
CUS-000476,Google Search,13.61,69.52,False,357
CUS-000477,Instagram,4.79,73.2,True,258
CUS-000478,Instagram,16.5,82.62,False,38
CUS-000479,TikTok,5.28,51.41,True,31
CUS-000480,TikTok,3.59,37.01,False,52
CUS-000481,Instagram,2.49,47.24,False,163
CUS-000482,Google Search,8.68,26.94,True,138
CUS-000483,Instagram,6.69,31.69,True,148
CUS-000484,Google Search,16.14,41.07,True,40
CUS-000485,Google Search,11.55,148.78,True,108
CUS-000486,Google Search,27.4,37.81,True,72
CUS-000487,Google Search,4.28,122.73,False,57
CUS-000488,Google Search,22.27,53.43,True,136
CUS-000489,Google Search,12.25,83.93,True,56
CUS-000490,Instagram,6.49,22.63,True,420
CUS-000491,Instagram,2.07,47.1,True,60
CUS-000492,TikTok,,47.56,False,55
CUS-000493,Instagram,3.28,71.54,True,141
CUS-000494,Google Search,14.96,86.27,True,208
CUS-000495,Instagram,3.3,14.32,False,78
CUS-000496,Google Search,4.62,132.31,True,119
CUS-000497,TikTok,3.82,6.13,True,210
CUS-000498,Google Search,10.2,115.21,False,262
CUS-000499,Google Search,11.31,106.31,True,116
CUS-000500,Google Search,10.44,33.94,True,161
CUS-000501,TikTok,4.43,56.29,True,61
CUS-000502,Google Search,15.27,80.08,True,106
CUS-000503,Google Search,14.57,88.44,False,43
CUS-000504,Instagram,1.32,5.0,True,17
CUS-000505,Instagram,5.83,34.41,True,30
CUS-000506,Google Search,9.15,51.21,False,42
CUS-000507,TikTok,1.47,51.41,True,61
CUS-000508,Instagram,6.81,79.94,True,5
CUS-000509,Instagram,5.27,102.45,True,170
CUS-000510,Instagram,7.37,50.39,True,9
CUS-000511,Instagram,5.36,71.14,False,150
CUS-000512,Google Search,8.1,38.19,False,192
CUS-000513,Instagram,6.25,62.74,True,101
CUS-000514,TikTok,1.11,78.29,True,23
CUS-000515,Instagram,8.97,30.05,True,182
CUS-000516,Google Search,4.32,57.44,False,108
CUS-000517,Google Search,8.82,62.77,True,193
CUS-000518,TikTok,1.11,5.0,False,531
CUS-000519,Google Search,8.54,,False,437
CUS-000520,Google Search,29.54,98.32,False,377
CUS-000521,Google Search,9.3,89.15,True,209
CUS-000522,Instagram,1.79,54.85,False,46
CUS-000523,Instagram,4.68,27.22,False,68
CUS-000524,Google Search,10.57,98.73,False,178
CUS-000525,TikTok,7.09,40.96,True,188
CUS-000526,Google Search,24.44,110.89,False,39
CUS-000527,TikTok,1.47,44.85,True,270
CUS-000528,TikTok,4.21,52.71,False,223
CUS-000529,Instagram,3.02,84.03,True,293
CUS-000530,Google Search,23.37,88.31,False,189
CUS-000531,Google Search,12.92,85.56,False,235
CUS-000532,Instagram,2.93,33.11,True,86
CUS-000533,TikTok,2.73,30.24,False,1
CUS-000534,TikTok,1.9,39.86,True,185
CUS-000535,Google Search,11.08,152.46,True,30
CUS-000536,Instagram,8.17,75.33,True,512
CUS-000537,TikTok,6.3,18.39,False,605
CUS-000538,TikTok,3.49,30.71,False,140
CUS-000539,Instagram,13.88,77.09,True,86
CUS-000540,TikTok,2.05,75.57,True,297
CUS-000541,Instagram,4.34,43.88,False,115
CUS-000542,Google Search,17.35,74.7,True,16
CUS-000543,Google Search,13.21,,True,187
CUS-000544,TikTok,3.99,118.02,True,33
CUS-000545,TikTok,3.17,63.56,True,74
CUS-000546,TikTok,2.39,73.46,False,208
CUS-000547,Google Search,5.63,6.82,False,56
CUS-000548,Google Search,17.7,88.42,True,105
CUS-000549,Instagram,14.53,135.36,False,292
CUS-000550,Google Search,20.31,99.53,False,1043
CUS-000551,Instagram,,31.85,True,49
CUS-000552,Google Search,7.22,116.76,True,299
CUS-000553,Instagram,8.94,83.77,False,24
CUS-000554,TikTok,1.86,35.25,True,240
CUS-000555,Google Search,3.01,75.04,True,169
CUS-000556,Google Search,5.99,45.13,False,159
CUS-000557,TikTok,2.96,32.02,False,99
CUS-000558,Google Search,16.99,48.95,False,134
CUS-000559,Google Search,16.72,97.56,True,495
CUS-000560,Google Search,14.81,94.49,False,56
CUS-000561,Instagram,2.42,21.98,False,112
CUS-000562,Instagram,15.44,30.1,True,343
CUS-000563,Google Search,14.03,118.54,False,162
CUS-000564,TikTok,0.86,61.77,False,13
CUS-000565,Instagram,4.17,85.92,False,415
CUS-000566,Instagram,2.91,59.8,False,64
CUS-000567,Google Search,5.4,,True,701
CUS-000568,Instagram,9.3,86.72,True,8
CUS-000569,TikTok,0.46,60.17,True,659
CUS-000570,Instagram,10.41,8.89,True,71
CUS-000571,Instagram,5.28,64.81,False,128
CUS-000572,Google Search,3.85,109.62,True,485
CUS-000573,Instagram,8.15,126.01,True,68
CUS-000574,Instagram,3.59,90.86,False,536
CUS-000575,TikTok,4.56,76.02,False,119
CUS-000576,Google Search,17.62,21.02,False,116
CUS-000577,Instagram,7.23,37.78,False,55
CUS-000578,TikTok,3.52,76.87,True,290
CUS-000579,Instagram,2.76,75.14,False,19
CUS-000580,TikTok,6.22,30.61,True,52
CUS-000581,Instagram,14.95,73.02,False,236
CUS-000582,Instagram,4.24,105.07,True,423
